Date : 2024-06-12 23:46:38
Directory : c:\Users\Kadir\OneDrive\Escritorio\edupro
Total : 72 files,  4445 codes, 340 comments, 465 blanks, all 5250 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\Kadir\OneDrive\Escritorio\edupro\lib\app.dart                                                  | Dart       |         32 |          7 |          3 |         42 |
| c:\Users\Kadir\OneDrive\Escritorio\edupro\lib\firebase_options.dart                                     | Dart       |         53 |         12 |          4 |         69 |
| c:\Users\Kadir\OneDrive\Escritorio\edupro\lib\main.dart                                                 | Dart       |         11 |          1 |          1 |         13 |
| c:\Users\Kadir\OneDrive\Escritorio\edupro\lib\models\result.dart                                        | Dart       |          5 |          0 |          2 |          7 |
| c:\Users\Kadir\OneDrive\Escritorio\edupro\lib\services\auth_service.dart                                | Dart       |         99 |          2 |          9 |        110 |
| c:\Users\Kadir\OneDrive\Escritorio\edupro\lib\services\questionary_service.dart                         | Dart       |         71 |          2 |          8 |         81 |
| c:\Users\Kadir\OneDrive\Escritorio\edupro\lib\services\questions_service.dart                           | Dart       |         30 |          0 |          6 |         36 |
| c:\Users\Kadir\OneDrive\Escritorio\edupro\lib\shared\widgets\nav\modules.dart                           | Dart       |         95 |          2 |          7 |        104 |
| c:\Users\Kadir\OneDrive\Escritorio\edupro\lib\shared\widgets\nav\navigation_bar.dart                    | Dart       |         51 |          1 |          4 |         56 |
| c:\Users\Kadir\OneDrive\Escritorio\edupro\lib\shared\widgets\nav\profile_card.dart                      | Dart       |        127 |          0 |         10 |        137 |
| c:\Users\Kadir\OneDrive\Escritorio\edupro\lib\shared\widgets\nav\statistics_card.dart                   | Dart       |         56 |          0 |          4 |         60 |
| c:\Users\Kadir\OneDrive\Escritorio\edupro\lib\shared\widgets\textfield.dart                             | Dart       |         41 |          0 |          4 |         45 |
| c:\Users\Kadir\OneDrive\Escritorio\edupro\lib\shared\widgets\warnings\warning_snackbar.dart             | Dart       |         11 |          0 |          2 |         13 |
| c:\Users\Kadir\OneDrive\Escritorio\edupro\lib\ui\admin\question_screen.dart                             | Dart       |        295 |          2 |          9 |        306 |
| c:\Users\Kadir\OneDrive\Escritorio\edupro\lib\ui\views\auth\login_screen.dart                           | Dart       |        164 |          1 |         11 |        176 |
| c:\Users\Kadir\OneDrive\Escritorio\edupro\lib\ui\views\auth\register_screen.dart                        | Dart       |        255 |          2 |         14 |        271 |
| c:\Users\Kadir\OneDrive\Escritorio\edupro\lib\ui\views\auth\welcome_screen.dart                         | Dart       |        116 |          3 |          4 |        123 |
| c:\Users\Kadir\OneDrive\Escritorio\edupro\lib\ui\views\home\'questionary_detail_screen.dart';.dart      | Dart       |        125 |          3 |         11 |        139 |
| c:\Users\Kadir\OneDrive\Escritorio\edupro\lib\ui\views\home\add_questionary_screen.dart                 | Dart       |        358 |         10 |         11 |        379 |
| c:\Users\Kadir\OneDrive\Escritorio\edupro\lib\ui\views\home\home_screen.dart                            | Dart       |        211 |          8 |         22 |        241 |
| c:\Users\Kadir\OneDrive\Escritorio\edupro\lib\ui\views\home\profile_screen.dart                         | Dart       |        188 |         18 |          7 |        213 |
| c:\Users\Kadir\OneDrive\Escritorio\edupro\lib\ui\views\home\settings_screen.dart                        | Dart       |        251 |          2 |         15 |        268 |
| c:\Users\Kadir\OneDrive\Escritorio\edupro\lib\ui\views\home\statistics_screen.dart                      | Dart       |        217 |          3 |         10 |        230 |
| c:\Users\Kadir\OneDrive\Escritorio\edupro\linux\flutter\generated_plugin_registrant.cc                  | C++        |          3 |          4 |          5 |         12 |
| c:\Users\Kadir\OneDrive\Escritorio\edupro\linux\flutter\generated_plugin_registrant.h                   | C++        |          5 |          5 |          6 |         16 |
| c:\Users\Kadir\OneDrive\Escritorio\edupro\linux\main.cc                                                 | C++        |          5 |          0 |          2 |          7 |
| c:\Users\Kadir\OneDrive\Escritorio\edupro\linux\my_application.cc                                       | C++        |         82 |         17 |         26 |        125 |
| c:\Users\Kadir\OneDrive\Escritorio\edupro\linux\my_application.h                                        | C++        |          7 |          7 |          5 |         19 |
| c:\Users\Kadir\OneDrive\Escritorio\edupro\macos\Flutter\GeneratedPluginRegistrant.swift                 | Swift      |         14 |          3 |          4 |         21 |
| c:\Users\Kadir\OneDrive\Escritorio\edupro\macos\RunnerTests\RunnerTests.swift                           | Swift      |          7 |          2 |          4 |         13 |
| c:\Users\Kadir\OneDrive\Escritorio\edupro\macos\Runner\AppDelegate.swift                                | Swift      |          8 |          0 |          2 |         10 |
| c:\Users\Kadir\OneDrive\Escritorio\edupro\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json | JSON       |         68 |          0 |          1 |         69 |
| c:\Users\Kadir\OneDrive\Escritorio\edupro\macos\Runner\Base.lproj\MainMenu.xib                          | XML        |        343 |          0 |          1 |        344 |
| c:\Users\Kadir\OneDrive\Escritorio\edupro\macos\Runner\MainFlutterWindow.swift                          | Swift      |         12 |          0 |          4 |         16 |
| c:\Users\Kadir\OneDrive\Escritorio\edupro\pubspec.yaml                                                  | YAML       |         33 |         15 |          9 |         57 |
| c:\Users\Kadir\OneDrive\Escritorio\edupro\test\widget_test.dart                                         | Dart       |         12 |         12 |          6 |         30 |
| c:\Users\Kadir\OneDrive\Escritorio\edupro\web\index.html                                                | HTML       |         38 |         16 |          6 |         60 |
| c:\Users\Kadir\OneDrive\Escritorio\edupro\web\manifest.json                                             | JSON       |         35 |          0 |          1 |         36 |
| c:\Users\Kadir\OneDrive\Escritorio\edupro\windows\flutter\generated_plugin_registrant.cc                | C++        |         12 |          4 |          5 |         21 |
| c:\Users\Kadir\OneDrive\Escritorio\edupro\windows\flutter\generated_plugin_registrant.h                 | C++        |          5 |          5 |          6 |         16 |
| c:\Users\Kadir\OneDrive\Escritorio\edupro\windows\runner\flutter_window.cpp                             | C++        |         49 |          7 |         16 |         72 |
| c:\Users\Kadir\OneDrive\Escritorio\edupro\windows\runner\flutter_window.h                               | C++        |         20 |          5 |          9 |         34 |
| c:\Users\Kadir\OneDrive\Escritorio\edupro\windows\runner\main.cpp                                       | C++        |         30 |          4 |         10 |         44 |
| c:\Users\Kadir\OneDrive\Escritorio\edupro\windows\runner\resource.h                                     | C++        |          9 |          6 |          2 |         17 |
| c:\Users\Kadir\OneDrive\Escritorio\edupro\windows\runner\utils.cpp                                      | C++        |         54 |          2 |         10 |         66 |
| c:\Users\Kadir\OneDrive\Escritorio\edupro\windows\runner\utils.h                                        | C++        |          8 |          6 |          6 |         20 |
| c:\Users\Kadir\OneDrive\Escritorio\edupro\windows\runner\win32_window.cpp                               | C++        |        210 |         24 |         55 |        289 |
| c:\Users\Kadir\OneDrive\Escritorio\edupro\windows\runner\win32_window.h                                 | C++        |         48 |         31 |         24 |        103 |
| Total                                                                                                   |            |      4,445 |        340 |        465 |      5,250 |
+---------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
